method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,86.0
official,,,1,92.0
official,,,2,76.0
official,,,3,80.0
official,,,4,84.0
global,0,,0,88.0
global,0,,1,86.0
global,0,,2,72.0
global,0,,3,84.0
global,0,,4,90.0
global,42,,0,84.0
global,42,,1,82.0
global,42,,2,86.0
global,42,,3,96.0
global,42,,4,78.0
global,625,,0,92.0
global,625,,1,84.0
global,625,,2,82.0
global,625,,3,96.0
global,625,,4,76.0
kmeanspp,0,0,0,84.0
kmeanspp,0,0,1,88.0
kmeanspp,0,0,2,62.0
kmeanspp,0,0,3,86.0
kmeanspp,0,0,4,90.0
kmeanspp,0,1,0,84.0
kmeanspp,0,1,1,86.0
kmeanspp,0,1,2,78.0
kmeanspp,0,1,3,90.0
kmeanspp,0,1,4,92.0
kmeanspp,0,2,0,76.0
kmeanspp,0,2,1,86.0
kmeanspp,0,2,2,84.0
kmeanspp,0,2,3,84.0
kmeanspp,0,2,4,78.0
kmeanspp,42,0,0,84.0
kmeanspp,42,0,1,86.0
kmeanspp,42,0,2,86.0
kmeanspp,42,0,3,92.0
kmeanspp,42,0,4,94.0
kmeanspp,42,1,0,86.0
kmeanspp,42,1,1,90.0
kmeanspp,42,1,2,78.0
kmeanspp,42,1,3,82.0
kmeanspp,42,1,4,78.0
kmeanspp,42,2,0,80.0
kmeanspp,42,2,1,84.0
kmeanspp,42,2,2,68.0
kmeanspp,42,2,3,92.0
kmeanspp,42,2,4,90.0
kmeanspp,625,0,0,86.0
kmeanspp,625,0,1,94.0
kmeanspp,625,0,2,82.0
kmeanspp,625,0,3,86.0
kmeanspp,625,0,4,84.0
kmeanspp,625,1,0,92.0
kmeanspp,625,1,1,88.0
kmeanspp,625,1,2,78.0
kmeanspp,625,1,3,84.0
kmeanspp,625,1,4,76.0
kmeanspp,625,2,0,80.0
kmeanspp,625,2,1,84.0
kmeanspp,625,2,2,80.0
kmeanspp,625,2,3,84.0
kmeanspp,625,2,4,84.0
spectral,0,0,0,82.0
spectral,0,0,1,82.0
spectral,0,0,2,76.0
spectral,0,0,3,84.0
spectral,0,0,4,80.0
spectral,0,1,0,80.0
spectral,0,1,1,90.0
spectral,0,1,2,80.0
spectral,0,1,3,86.0
spectral,0,1,4,86.0
spectral,0,2,0,90.0
spectral,0,2,1,86.0
spectral,0,2,2,82.0
spectral,0,2,3,80.0
spectral,0,2,4,84.0
spectral,42,0,0,92.0
spectral,42,0,1,84.0
spectral,42,0,2,76.0
spectral,42,0,3,82.0
spectral,42,0,4,78.0
spectral,42,1,0,80.0
spectral,42,1,1,92.0
spectral,42,1,2,68.0
spectral,42,1,3,84.0
spectral,42,1,4,80.0
spectral,42,2,0,86.0
spectral,42,2,1,88.0
spectral,42,2,2,74.0
spectral,42,2,3,88.0
spectral,42,2,4,86.0
spectral,625,0,0,92.0
spectral,625,0,1,94.0
spectral,625,0,2,78.0
spectral,625,0,3,84.0
spectral,625,0,4,88.0
spectral,625,1,0,82.0
spectral,625,1,1,86.0
spectral,625,1,2,80.0
spectral,625,1,3,84.0
spectral,625,1,4,86.0
spectral,625,2,0,88.0
spectral,625,2,1,84.0
spectral,625,2,2,84.0
spectral,625,2,3,90.0
spectral,625,2,4,94.0
auto_lap,0,0,0,88.0
auto_lap,0,0,1,86.0
auto_lap,0,0,2,72.0
auto_lap,0,0,3,84.0
auto_lap,0,0,4,90.0
auto_lap,42,0,0,84.0
auto_lap,42,0,1,82.0
auto_lap,42,0,2,86.0
auto_lap,42,0,3,96.0
auto_lap,42,0,4,78.0
auto_lap,625,0,0,92.0
auto_lap,625,0,1,84.0
auto_lap,625,0,2,82.0
auto_lap,625,0,3,96.0
auto_lap,625,0,4,76.0
