method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,52.0
official,,,1,50.0
official,,,2,44.0
official,,,3,50.0
official,,,4,60.0
global,0,,0,54.0
global,0,,1,44.0
global,0,,2,42.0
global,0,,3,40.0
global,0,,4,54.0
global,42,,0,56.00000000000001
global,42,,1,52.0
global,42,,2,38.0
global,42,,3,44.0
global,42,,4,60.0
global,625,,0,57.99999999999999
global,625,,1,44.0
global,625,,2,40.0
global,625,,3,48.0
global,625,,4,62.0
kmeanspp,0,0,0,52.0
kmeanspp,0,0,1,44.0
kmeanspp,0,0,2,40.0
kmeanspp,0,0,3,46.0
kmeanspp,0,0,4,60.0
kmeanspp,0,1,0,46.0
kmeanspp,0,1,1,40.0
kmeanspp,0,1,2,40.0
kmeanspp,0,1,3,40.0
kmeanspp,0,1,4,54.0
kmeanspp,0,2,0,46.0
kmeanspp,0,2,1,40.0
kmeanspp,0,2,2,40.0
kmeanspp,0,2,3,40.0
kmeanspp,0,2,4,54.0
kmeanspp,42,0,0,56.00000000000001
kmeanspp,42,0,1,42.0
kmeanspp,42,0,2,42.0
kmeanspp,42,0,3,42.0
kmeanspp,42,0,4,56.00000000000001
kmeanspp,42,1,0,54.0
kmeanspp,42,1,1,44.0
kmeanspp,42,1,2,38.0
kmeanspp,42,1,3,44.0
kmeanspp,42,1,4,56.00000000000001
kmeanspp,42,2,0,54.0
kmeanspp,42,2,1,44.0
kmeanspp,42,2,2,38.0
kmeanspp,42,2,3,44.0
kmeanspp,42,2,4,56.00000000000001
kmeanspp,625,0,0,50.0
kmeanspp,625,0,1,46.0
kmeanspp,625,0,2,38.0
kmeanspp,625,0,3,50.0
kmeanspp,625,0,4,57.99999999999999
kmeanspp,625,1,0,54.0
kmeanspp,625,1,1,46.0
kmeanspp,625,1,2,40.0
kmeanspp,625,1,3,44.0
kmeanspp,625,1,4,56.00000000000001
kmeanspp,625,2,0,54.0
kmeanspp,625,2,1,46.0
kmeanspp,625,2,2,40.0
kmeanspp,625,2,3,44.0
kmeanspp,625,2,4,56.00000000000001
spectral,0,0,0,54.0
spectral,0,0,1,46.0
spectral,0,0,2,46.0
spectral,0,0,3,48.0
spectral,0,0,4,56.00000000000001
spectral,0,1,0,50.0
spectral,0,1,1,46.0
spectral,0,1,2,44.0
spectral,0,1,3,44.0
spectral,0,1,4,54.0
spectral,0,2,0,54.0
spectral,0,2,1,40.0
spectral,0,2,2,40.0
spectral,0,2,3,44.0
spectral,0,2,4,50.0
spectral,42,0,0,50.0
spectral,42,0,1,46.0
spectral,42,0,2,42.0
spectral,42,0,3,48.0
spectral,42,0,4,56.00000000000001
spectral,42,1,0,54.0
spectral,42,1,1,44.0
spectral,42,1,2,46.0
spectral,42,1,3,44.0
spectral,42,1,4,62.0
spectral,42,2,0,50.0
spectral,42,2,1,46.0
spectral,42,2,2,44.0
spectral,42,2,3,46.0
spectral,42,2,4,56.00000000000001
spectral,625,0,0,54.0
spectral,625,0,1,44.0
spectral,625,0,2,42.0
spectral,625,0,3,44.0
spectral,625,0,4,52.0
spectral,625,1,0,50.0
spectral,625,1,1,38.0
spectral,625,1,2,44.0
spectral,625,1,3,42.0
spectral,625,1,4,60.0
spectral,625,2,0,54.0
spectral,625,2,1,44.0
spectral,625,2,2,40.0
spectral,625,2,3,44.0
spectral,625,2,4,57.99999999999999
auto_lap,0,0,0,54.0
auto_lap,0,0,1,44.0
auto_lap,0,0,2,42.0
auto_lap,0,0,3,40.0
auto_lap,0,0,4,54.0
auto_lap,42,0,0,56.00000000000001
auto_lap,42,0,1,52.0
auto_lap,42,0,2,38.0
auto_lap,42,0,3,44.0
auto_lap,42,0,4,60.0
auto_lap,625,0,0,57.99999999999999
auto_lap,625,0,1,44.0
auto_lap,625,0,2,40.0
auto_lap,625,0,3,48.0
auto_lap,625,0,4,62.0
